strategy_key,variant_key,check_type,status,expected_value,actual_value,difference,note
p5,c0,baseline_reproduction_final_nav,pass,1.489482567877,1.489482567877,0.000000000000,Zero-cost rerun should reproduce the validated baseline exactly.
n4,c0,cash_reconciliation::2019-02-28,pass,0.000000000000,-0.000000000000,0.000000000000,"Self-financing fixed-point solution should reconcile target holdings, cash, and cost exactly."
n4,c0,cash_reconciliation::2019-03-29,pass,0.000000000000,-0.000000000001,0.000000000001,"Self-financing fixed-point solution should reconcile target holdings, cash, and cost exactly."
n4,c0,cash_reconciliation::2019-04-30,pass,0.000000000000,0.000000000001,0.000000000001,"Self-financing fixed-point solution should reconcile target holdings, cash, and cost exactly."
n4,c0,cash_reconciliation::2019-05-31,pass,0.000000000000,0.000000000000,0.000000000000,"Self-financing fixed-point solution should reconcile target holdings, cash, and cost exactly."
n4,c0,cash_reconciliation::2019-06-28,pass,0.000000000000,0.000000000001,0.000000000001,"Self-financing fixed-point solution should reconcile target holdings, cash, and cost exactly."
n4,c0,cash_reconciliation::2019-07-31,pass,0.000000000000,0.000000000000,0.000000000000,"Self-financing fixed-point solution should reconcile target holdings, cash, and cost exactly."
n4,c0,cash_reconciliation::2019-08-30,pass,0.000000000000,0.000000000000,0.000000000000,"Self-financing fixed-point solution should reconcile target holdings, cash, and cost exactly."
n4,c0,cash_reconciliation::2019-09-30,pass,0.000000000000,-0.000000000000,0.000000000000,"Self-financing fixed-point solution should reconcile target holdings, cash, and cost exactly."
n4,c0,cash_reconciliation::2019-10-31,pass,0.000000000000,0.000000000001,0.000000000001,"Self-financing fixed-point solution should reconcile target holdings, cash, and cost exactly."
n4,c0,cash_reconciliation::2019-11-29,pass,0.000000000000,0.000000000000,0.000000000000,"Self-financing fixed-point solution should reconcile target holdings, cash, and cost exactly."
n4,c0,cash_reconciliation::2019-12-31,pass,0.000000000000,-0.000000000001,0.000000000001,"Self-financing fixed-point solution should reconcile target holdings, cash, and cost exactly."
